"course_id","skill_id","categories"
"106","11699","[""course_content""]"
"106","11885","[""course_content""]"
"106","11941","[""course_content""]"
"106","12098","[""course_content""]"
"106","12195","[""course_content"", ""objectives""]"
"106","12503","[""course_content""]"
"106","12756","[""course_content""]"
"106","16127","[""course_content""]"
"106","17592","[""course_content""]"
"106","19133","[""course_content""]"
"106","19252","[""course_content""]"
"106","19287","[""course_content""]"
"107","10868","[""course_content""]"
"107","10870","[""course_content""]"
"107","10872","[""course_content""]"
"107","10891","[""course_content""]"
"107","10898","[""course_content""]"
"107","10904","[""course_content""]"
"107","10907","[""course_content""]"
"107","10948","[""course_content""]"
"107","10975","[""course_content""]"
"107","10996","[""course_content""]"
"107","11056","[""course_content""]"
"107","11061","[""course_content""]"
"107","11071","[""course_content""]"
"107","11076","[""course_content""]"
"107","11077","[""course_content"", ""description"", ""educational_material"", ""learning_outcomes"", ""lesson_name"", ""objectives""]"
"107","11087","[""course_content""]"
"107","11112","[""description"", ""educational_material""]"
"107","11136","[""course_content""]"
"107","11165","[""course_content""]"
"107","11197","[""course_content""]"
"107","11277","[""course_content""]"
"107","11284","[""course_content""]"
"107","11350","[""course_content""]"
"107","11425","[""course_content""]"
"107","11443","[""course_content""]"
"107","11488","[""course_content""]"
"107","11574","[""course_content""]"
"107","11586","[""course_content""]"
"107","11588","[""course_content""]"
"107","11885","[""course_content""]"
"107","11941","[""course_content""]"
"107","12230","[""course_content""]"
"107","12696","[""course_content""]"
"107","12756","[""course_content""]"
"107","12762","[""course_content""]"
"107","13241","[""course_content""]"
"107","14376","[""course_content""]"
"107","14386","[""course_content""]"
"107","16127","[""course_content""]"
"107","19172","[""course_content""]"
"107","19349","[""course_content""]"
"107","19469","[""course_content""]"
"108","10868","[""course_content""]"
"108","10888","[""course_content""]"
"108","10891","[""course_content""]"
"108","10901","[""course_content""]"
"108","10904","[""course_content""]"
"108","10906","[""course_content""]"
"108","10959","[""description""]"
"108","10990","[""course_content""]"
"108","11108","[""course_content""]"
"108","11136","[""description""]"
"108","11197","[""course_content""]"
"108","11307","[""course_content""]"
"108","11326","[""course_content""]"
"108","11485","[""course_content""]"
"108","11588","[""course_content""]"
"108","11885","[""course_content""]"
"108","11941","[""course_content""]"
"108","12065","[""course_content""]"
"108","12230","[""course_content""]"
"108","12698","[""course_content""]"
"108","12756","[""course_content""]"
"108","14265","[""course_content""]"
"108","14677","[""course_content""]"
"108","16127","[""course_content""]"
"108","19209","[""course_content""]"
"108","19310","[""course_content""]"
"108","19349","[""course_content""]"
"109","10868","[""description""]"
"109","10872","[""description""]"
"109","10891","[""description""]"
"109","10898","[""description""]"
"109","10904","[""description""]"
"109","10948","[""description""]"
"109","10959","[""description""]"
"109","10964","[""description""]"
"109","10967","[""description""]"
"109","10982","[""description""]"
"109","10983","[""description""]"
"109","11077","[""description""]"
"109","11087","[""description""]"
"109","11095","[""description""]"
"109","11112","[""description""]"
"109","11197","[""description""]"
"109","11215","[""description""]"
"109","11243","[""description""]"
"109","11265","[""description""]"
